noga1995;noga2002
24.12;24.12
24.12A;24.12A
24.13;24.13
24.13A;24.13A
24.14;24.14
24.14A;24.14A
24.15;24.15
24.15A;24.15A
24.16;24.16
24.16A;24.16A
24.17;24.17
24.17A;24.17A
24.2;24.2
24.2;24.2
24.20A;24.20A
24.3;24.3
24.3;24.3
24.30A;24.30A
24.4;24.4
24.41;24.41
24.41A;24.41A
24.42;24.42
24.42A;24.42A
24.5;24.5
24.51;24.51
24.51A;24.51A
24.52;24.52
24.52A;24.52A
24.6;24.6
24.61;24.61
24.61A;24.61A
24.62;24.62
24.62A;24.62A
24.63;24.63
24.63A;24.63A
24.64;24.64
24.64A;24.64A
24.65;24.65
24.65A;24.65A
24.66;24.66
24.66A;24.66A
24.7;24.7
24.7;24.7
24.70A;24.70A
25;25
25.1;25.1
25.11;25.11
25.11A;25.11A
25.12;25.12
25.12A;25.12A
25.13;25.13
25.13A;25.13A
25.2;25.2
25.21;25.21
25.21A;25.21A
25.22;25.22
25.22A;25.22A
25.23;25.23
25.23A;25.23A
25.24;25.24
25.24A;25.24A
26;26
26.1;26.1
26.11;26.11
26.11A;26.11A
26.12;26.12
26.12A;26.12A
26.13;26.13
26.13A;26.13A
26.14;26.14
26.14A;26.14A
26.15;26.15
26.15A;26.15A
26.2;26.2
26.21;26.21
26.21A;26.21A
26.22;26.22
26.22A;26.22A
26.23;26.23
26.23A;26.23A
26.24;26.24
26.24A;26.24A
26.25;26.25
26.25A;26.25A
26.26;26.26
26.26A;26.26A
26.3;26.3
26.3;26.3
26.30A;26.30A
26.4;26.4
26.4;26.4
26.40A;26.40A
26.5;26.5
26.51;26.51
26.51A;26.51A
26.52;26.52
26.52A;26.52A
26.53;26.53
26.53A;26.53A
26.6;26.6
26.61;26.61
26.61A;26.61A
26.62;26.62
26.62A;26.62A
26.63;26.63
26.63A;26.63A
26.64;26.64
26.64A;26.64A
26.65;26.65
26.65A;26.65A
26.66;26.66
26.66A;26.66A
26.7;26.7
26.7;26.7
26.70A;26.70A
26.8;26.8
26.81;26.81
26.81A;26.81A
26.82;26.82
26.82A;26.82A
26.82B;26.82B
27;27
27.1;27.1
27.1;27.1
27.10A;27.10A
27.2;27.2
27.21;27.21
27.21A;27.21A
27.22;27.22
27.22A;27.22A
27.3;27.3
27.31;27.31
27.31A;27.31A
27.32;27.32
27.32A;27.32A
27.33;27.33
27.33A;27.33A
27.34;27.34
27.34A;27.34A
27.35;27.1
27.35A;27.10A
27.4;27.4
27.41;27.41
27.41A;27.41A
27.42;27.42
27.42A;27.42A
27.43;27.43
27.43A;27.43A
27.44;27.44
27.44A;27.44A
27.45;27.45
27.45A;27.45A
27.5;27.5
27.51;27.51
27.51A;27.51A
27.52;27.52
27.52A;27.52A
27.53;27.53
27.53A;27.53A
27.54;27.54
27.54A;27.54A
28;28
28.1;28.1
28.11;28.11
28.11A;28.11A
28.12;28.12
28.12A;28.12A
28.2;28.2
28.21;28.21
28.21A;28.21A
28.22;28.22
28.22A;28.22A
28.3;28.3
28.3;28.3
28.30A;28.30A
28.4;28.4
28.4;28.4
28.40A;28.40A
28.5;28.5
28.51;28.51
28.51A;28.51A
28.52;28.52
28.52A;28.52A
28.52B;28.52B
28.52C;28.52C
28.6;28.6
28.61;28.61
28.61A;28.61A
28.62;28.62
28.62A;28.62A
28.63;28.63
28.63A;28.63A
28.7;28.7
28.71;28.71
28.71A;28.71A
28.72;28.72
28.72A;28.72A
28.73;28.73
28.73A;28.73A
28.74;28.74
28.74A;28.74A
28.75;28.75
28.75A;28.75A
29;29
29.1;29.1
29.11;29.11
29.11A;29.11A
29.12;29.12
29.12A;29.12A
29.13;29.13
29.13A;29.13A
29.14;29.14
29.14A;29.14A
29.2;29.2
29.21;29.21
29.21A;29.21A
29.22;29.22
29.22A;29.22A
29.23;29.23
29.23A;29.23A
29.24;29.24
29.24A;29.24A
29.3;29.3
29.31;29.31
29.31A;29.31A
29.32;29.32
29.32A;29.32A
29.4;29.4
29.4;29.41
29.4;29.42
29.4;29.43
29.40A;29.42A
29.40B;29.41A
29.40B;29.43A
29.5;29.5
29.51;29.51
29.51A;29.51A
29.52;29.52
29.52A;29.52A
29.53;29.53
29.53A;29.53A
29.54;29.54
29.54A;29.54A
29.54B;29.54B
29.55;29.55
29.55A;29.55A
29.56;29.56
29.56A;29.56A
29.56B;29.56B
29.6;29.6
29.6;29.6
29.60A;29.60A
29.7;29.7
29.71;29.71
29.71A;29.71A
29.72;29.72
29.72A;29.72A
30;30
30;30
30.01;30.01
30.01A;30.01A
30.02;30.02
30.02A;30.02A
31;31
31.1;31.1
31.1;31.1
31.10A;31.10A
31.2;31.2
31.2;31.2
31.20A;31.20A
31.3;31.3
31.3;31.3
31.30A;31.30A
31.4;31.4
31.4;31.4
31.40A;31.40A
31.5;31.5
31.5;31.5
31.50A;31.50A
31.6;31.6
31.61;31.61
31.61A;31.61A
31.62;31.62
31.62A;31.62A
32;32
32.1;32.1
32.1;32.1
32.10A;32.10A
32.2;32.2
32.2;32.2
32.20A;32.20A
32.3;32.3
32.3;32.3
32.30A;32.30A
33;33
33.1;33.1
33.1;33.1
33.10A;33.10A
33.10B;33.10B
33.10C;33.10C
33.2;33.2
33.2;33.2
33.20A;33.20A
33.3;33.3
33.3;33.3
33.30A;33.30A
33.4;33.4
33.4;33.4
33.40A;33.40A
33.40B;33.40B
33.40C;33.40C
33.5;33.5
33.5;33.5
33.50A;33.50A
33.50B;33.50B
33.50C;33.50C
33.50D;33.50D
33.50E;33.50E
34;34
34.1;34.1
34.1;34.1
34.10A;34.10A
34.2;34.2
34.2;34.2
34.20A;34.20A
34.3;34.3
34.3;34.3
34.30A;34.30A
35;35
35.1;35.1
35.11;35.11
35.11A;35.11A
35.12;35.12
35.12A;35.12A
35.2;35.2
35.2;35.2
35.20A;35.20A
35.3;35.3
35.3;35.3
35.30A;35.30A
35.4;35.4
35.41;35.41
35.41A;35.41A
35.42;35.42
35.42A;35.42A
35.43;35.43
35.43A;35.43A
35.5;35.5
35.5;35.5
35.50A;35.50A
36;36
36.1;36.1
36.11;36.11
36.11A;36.11A
36.12;36.12
36.12A;36.12A
36.13;36.13
36.13A;36.13A
36.14;36.14
36.14A;36.14A
36.14B;36.14B
36.15;36.15
36.15A;36.15A
36.2;36.2
36.21;36.21
36.21A;36.21A
36.22;36.22
36.22A;36.22A
36.22B;36.22B
36.3;36.3
36.3;36.3
36.30A;36.30A
36.4;36.4
36.4;36.4
36.40A;36.40A
36.5;36.5
36.5;36.5
36.50A;36.50A
36.6;36.6
36.61;36.61
36.61A;36.61A
36.62;36.62
36.62A;36.62A
36.63;36.63
36.63A;36.63A
37;37
37.1;37.1
37.1;37.1
37.10A;37.10A
37.2;37.2
37.2;37.2
37.20A;37.20A
37.20B;37.20A
40;40
40.1;40.1
40.1;40.11
40.1;40.12
40.1;40.13
40.10A;40.11A
40.10A;40.12A
40.10A;40.13A
40.2;40.2
40.2;40.21
40.2;40.22
40.20A;40.21A
40.20A;40.22A
40.3;40.3
40.3;40.3
40.30A;40.30A
41;41
41;41
41;41
41.00A;41.00A
45;45
45.1;45.1
45.11;45.11
45.11A;45.11A
45.11B;45.11B
45.12;45.12
45.12A;45.12A
45.2;45.2
45.21;45.21
45.21A;45.21A
45.21B;45.21B
45.21C;45.21C
45.21D;45.21D
45.21E;45.21E
45.21F;45.21F
45.22;45.22
45.22A;45.22A
45.22B;45.22B
45.22C;45.22C
45.22D;45.22D
45.23;45.23
45.23A;45.23A
45.23B;45.23B
45.23C;45.23C
45.24;45.24
45.24A;45.24A
45.25;45.25
45.25A;45.25A
45.25B;45.25B
45.25C;45.25C
45.3;45.3
45.31;45.31
45.31A;45.31A
45.32;45.32
45.32A;45.32A
45.33;45.33
45.33A;45.33A
45.33B;45.33B
45.33C;45.33C
45.33D;45.33D
45.34;45.34
45.34A;45.34A
45.4;45.4
45.41;45.41
45.41A;45.41A
45.42;45.42
45.42A;45.42A
45.43;45.43
45.43A;45.43A
45.43B;45.43B
45.43C;45.43C
45.44;45.44
45.44A;45.44A
45.44B;45.44B
45.44C;45.44C
45.45;45.45
45.45A;45.45A
45.5;45.5
45.5;45.5
45.50A;45.50A
50;50
50.1;50.1
50.1;50.1
50.10A;50.10A
50.10B;50.10B
50.2;50.2
50.2;50.2
50.20A;50.20A
50.20A;50.20B
50.3;50.3
50.3;50.3
50.30A;50.30A
50.30B;50.30B
50.4;50.4
50.4;50.4
50.40A;50.40A
50.5;50.5
50.5;50.5
50.50A;50.50A
51;51
51.1;51.1
51.11;51.11
51.11A;51.11A
51.12;51.12
51.12A;51.12A
51.13;51.13
51.13A;51.13A
51.14;51.14
51.14A;51.14A
51.15;51.15
51.15A;51.15A
51.16;51.16
51.16A;51.16A
51.17;51.17
51.17A;51.17A
51.18;51.18
51.18A;51.18A
51.19;51.19
51.19A;51.19A
51.2;51.2
51.21;51.21
51.21A;51.21A
51.22;51.22
51.22A;51.22A
51.23;51.23
51.23A;51.23A
51.24;51.24
51.24A;51.24A
51.25;51.25
51.25A;51.25A
51.3;51.3
51.31;51.31
51.31A;51.31A
51.32;51.32
51.32A;51.32A
51.33;51.33
51.33A;51.33A
51.34;51.34
51.34A;51.34A
51.34B;51.34B
51.35;51.35
51.35A;51.35A
51.36;51.36
51.36A;51.36A
51.37;51.37
51.37A;51.37A
51.38;51.38
51.38A;51.38A
51.39;51.39
51.39A;51.39A
51.4;51.4
51.41;51.41
51.41A;51.41A
51.42;51.42
51.42A;51.42A
51.42B;51.42B
51.43;51.43
51.43A;51.43A
51.43B;51.43B
51.44;51.44
51.44A;51.44A
51.44B;51.44B
51.45;51.45
51.45A;51.45A
51.46;51.46
51.46A;51.46A
51.46B;51.46B
51.47;51.47
51.47A;51.47A
51.47B;51.47B
51.47C;51.47C
51.47D;51.47D
51.47E;51.47E
51.47F;51.47F
51.47G;51.47G
51.47H;51.47H
51.47I;51.47I
51.47J;51.47J
51.5;51.5
51.51;51.51
51.51A;51.51A
51.52;51.52
51.52A;51.52A
51.53;51.53
51.53A;51.53A
51.53B;51.53B
51.53C;51.53C
51.54;51.54
51.54A;51.54A
51.55;51.55
51.55A;51.55A
51.56;51.56
51.56A;51.56A
51.57;51.57
51.57A;51.57A
51.6;51.8
51.61;51.81
51.61A;51.81A
51.62;51.82
51.62A;51.82A
51.63;51.83
51.63A;51.83A
51.64;51.84
51.64;51.85
51.64A;51.85A
51.64B;51.84A
51.64C;51.84B
51.64D;51.85B
51.65;51.86
51.65;51.87
51.65A;51.86A
51.65A;51.87A
51.66;51.88
51.66A;51.88A
51.7;51.9
51.7;51.9
51.70A;51.90A
52;52
52.1;52.1
52.11;52.11
52.11A;52.11A
52.11B;52.11B
52.11C;52.11C
52.11D;52.11D
52.11E;52.11E
52.12;52.12
52.12A;52.12A
52.12B;52.12B
52.2;52.2
52.21;52.21
52.21A;52.21A
52.22;52.22
52.22A;52.22A
52.23;52.23
52.23A;52.23A
52.24;52.24
52.24A;52.24A
52.24A;52.24B
52.25;52.25
52.25A;52.25A
52.26;52.26
52.26A;52.26A
52.27;52.27
52.27A;52.27A
52.27B;52.27B
52.3;52.3
52.31;52.31
52.31A;52.31A
52.32;52.32
52.32A;52.32A
52.33;52.33
52.33A;52.33A
52.33B;52.33B
52.4;52.4
52.41;52.41
52.41A;52.41A
52.42;52.42
52.42A;52.42A
52.42B;52.42B
52.42C;52.42C
52.42D;52.42D
52.42E;52.42E
52.43;52.43
52.43A;52.43A
52.43B;52.43B
52.44;52.44
52.44A;52.44A
52.44B;52.48E
52.44C;52.44B
52.45;52.45
52.45A;52.45A
52.45B;52.45B
52.45C;52.45C
52.45D;52.45D
52.45E;52.45E
52.46;52.46
52.46A;52.46A
52.46B;52.46B
52.47;52.47
52.47A;52.47A
52.47B;52.47B
52.47C;52.47C
52.48;52.48
52.48A;52.48A
52.48B;52.48B
52.48C;52.48C
52.48D;52.48D
52.48E;52.48E
52.48F;52.48F
52.48G;52.48G
52.48H;52.48H
52.48I;52.48I
52.48J;52.48J
52.48K;52.48K
52.48L;52.48L
52.48M;52.48M
52.48N;52.48N
52.48O;52.48O
52.48P;52.48P
52.5;52.5
52.5;52.5
52.50A;52.50A
52.50B;52.50B
52.6;52.6
52.61;52.61
52.61A;52.61A
52.62;52.62
52.62A;52.62A
52.63;52.63
52.63A;52.63A
52.7;52.7
52.71;52.71
52.71A;52.71A
52.72;52.72
52.72A;52.72A
52.73;52.73
52.73A;52.73A
52.74;52.74
52.74A;52.74A
55;55
55.1;55.1
55.11;55.1
55.11A;55.10A
55.12;55.1
55.12A;55.10B
55.2;55.2
55.21;55.21
55.21A;55.21A
55.22;55.22
55.22A;55.22A
55.23;55.23
55.23A;55.23A
55.23B;55.23B
55.23C;55.23C
55.3;55.3
55.3;55.3
55.30A;55.30A
55.30A;55.30B
55.4;55.4
55.4;55.4
55.40A;55.40A
55.5;55.5
55.51;55.51
55.51A;55.51A
55.52;55.52
55.52A;55.52A
60;60
60.1;60.1
60.1;60.1
60.10A;60.10A
60.2;60.2
60.21;60.21
60.21A;60.21A
60.21B;60.21B
60.21C;60.21C
60.22;60.22
60.22A;60.22A
60.23;60.23
60.23A;60.23A
60.24;60.24
60.24A;60.24A
60.3;60.3
60.3;60.3
60.30A;60.30A
61;61
61.1;61.1
61.1;61.1
61.10A;61.10A
61.2;61.2
61.2;61.2
61.20A;61.20A
61.20B;61.20B
62;62
62.1;62.1
62.1;62.1
62.10A;62.10A
62.2;62.2
62.2;62.2
62.20A;62.20A
62.3;62.3
62.3;62.3
62.30A;62.30A
63;63
63.1;63.1
63.11;63.11
63.11A;63.11A
63.12;63.12
63.12A;63.12A
63.2;63.2
63.21;63.21
63.21A;63.21A
63.22;63.22
63.22A;63.22A
63.23;63.23
63.23A;63.23A
63.3;63.3
63.3;63.3
63.30A;63.30A
63.4;63.4
63.4;63.4
63.40A;63.40A
64;64
64.1;64.1
64.11;64.11
64.11A;64.11A
64.12;64.12
64.12A;64.12A
64.2;64.2
64.2;64.2
64.20A;64.20A
64.20A;64.20B
64.20A;64.20C
65;65
65.1;65.1
65.11;65.11
65.11A;65.11A
65.12;65.12
65.12A;65.12A
65.12B;65.12B
65.12C;65.12C
65.12D;65.12D
65.12E;65.12E
65.12F;65.12F
65.12G;65.12G
65.12H;65.12H
65.12I;65.12I
65.12J;65.12J
65.12K;65.12K
65.12L;65.12L
65.2;65.2
65.21;65.21
65.21A;65.21A
65.22;65.22
65.22A;65.22A
65.22B;65.22B
65.23;65.23
65.23A;65.23A
65.23B;65.23B
65.23C;65.23C
65.23C;65.23D
66;66
66;66
66.01;66.01
66.01A;66.01A
66.02;66.02
66.02A;66.02A
66.03;66.03
66.03A;66.03A
66.03B;66.03B
66.03C;66.03C
66.03D;66.03D
67;67
67.1;67.1
67.11;67.11
67.11A;67.11A
67.12;67.12
67.12A;67.12A
67.12B;67.12B
67.13;67.13
67.13A;67.13A
67.2;67.2
67.2;67.2
67.20A;67.20A
70;70
70.1;70.1
70.11;70.11
70.11A;70.11A
70.12;70.12
70.12A;70.12A
70.2;70.2
70.2;70.2
70.20A;70.20A
70.20B;70.20B
70.3;70.3
70.31;70.31
70.31A;70.31A
70.32;70.32
70.32A;70.32A
71;71
71.1;71.1
71.1;71.1
71.10A;71.10A
71.2;71.2
71.21;71.21
71.21A;71.21A
71.22;71.22
71.22A;71.22A
71.23;71.23
71.23A;71.23A
71.3;71.3
71.31;71.31
71.31A;71.31A
71.32;71.32
71.32A;71.32A
71.33;71.33
71.33A;71.33A
71.34;71.34
71.34A;71.34A
71.4;71.4
71.4;71.4
71.40A;71.40A
72;72
72.1;72.1
72.1;72.1
72.10A;72.10A
72.2;72.2
72.2;72.21
72.2;72.22
72.20A;72.21A
72.20A;72.22A
72.3;72.3
72.3;72.3
72.30A;72.30A
72.4;72.4
72.4;72.4
72.40A;72.40A
72.5;72.5
72.5;72.5
72.50A;72.50A
72.6;72.6
72.6;72.6
72.60A;72.60A
73;73
73.1;73.1
73.1;73.1
73.10A;73.10A
73.2;73.2
73.2;73.2
73.20A;73.20A
74;74
74.1;74.1
74.11;74.11
74.11A;74.11A
74.11B;74.11B
74.12;74.12
74.12A;74.12A
74.13;74.13
74.13A;74.13A
74.14;74.14
74.14A;74.14A
74.15;74.15
74.15A;74.15A
74.15A;74.15B
74.2;74.2
74.2;74.2
74.20A;74.20A
74.20B;74.20B
74.20C;74.20C
74.20D;74.20D
74.20E;74.20E
74.20F;74.20F
74.20G;74.20G
74.20H;74.20H
74.3;74.3
74.3;74.3
74.30A;74.30A
74.4;74.4
74.4;74.4
74.40A;74.40A
74.40B;74.40B
74.5;74.5
74.5;74.5
74.50A;74.50A
74.6;74.6
74.6;74.6
74.60A;74.60A
74.7;74.7
74.7;74.7
74.70A;74.70A
74.70B;74.70B
74.70C;74.70C
74.8;74.8
74.81;74.81
74.81A;74.81A
74.81B;74.81B
74.82;74.82
74.82A;74.82A
74.83;74.85
74.83;74.86
74.83A;74.85A
74.83B;74.85B
74.84;74.87
74.84A;74.87A
74.84B;74.87B
74.84C;74.87C
74.84D;74.87D
74.86A;74.86A
75;75
75.1;75.1
75.11;75.11
75.11A;75.11A
75.12;75.12
75.12A;75.12A
75.13;75.13
75.13A;75.13A
