noga2008;noga2002;p
941200;91.12A;1
942000;91.20A;1
949101;91.31A;1
949102;91.31B;1
949200;91.32A;1
949901;91.33A;1
949902;91.33B;1
949903;91.33C;1
949904;91.33D;1
949904;01.50A;0
951100;72.50A;0.92760181
951100;30.02A;0.07239819
951200;32.20A;0.779411765
951200;52.74A;0.220588235
952100;52.72A;1
952200;52.72A;0.996226415
952200;29.32A;0.003773585
952300;52.71A;1
952300;52.74A;0
952400;36.14B;0.811552347
952400;36.11A;0.18700361
952400;36.12A;0.000722022
952400;36.13A;0.000722022
952500;52.73A;1
952900;52.74A;0.756756757
952900;36.30A;0.243243243
952900;17.40C;0
960101;93.01A;1
960102;93.01A;1
960201;93.02A;1
960202;93.02B;1
960300;93.03A;1
960401;93.04A;1
960402;93.04C;1
960900;93.05A;1
970000;95.00A;1
981000;96.00A;1
982000;97.00A;1
990001;99.00A;1
990002;99.00B;1
990003;99.00C;1
