noga2008;noga2002;p
201100;24.11A;1
201200;24.12A;1
201300;24.13A;1
201300;23.30A;0
201400;24.14A;1
201400;15.92A;0
201500;24.15A;1
201600;24.16A;1
201700;24.17A;1
202000;24.20A;1
203000;24.30A;1
204100;24.51A;1
204200;24.52A;0.985049484
204200;24.51A;0.014950516
205100;24.61A;0.962962963
205100;36.63A;0.037037037
205200;24.62A;1
205300;24.63A;1
205900;24.66A;0.870757976
205900;24.64A;0.127006706
205900;24.62A;0.002235318
206000;24.70A;1
211000;24.41A;1
212000;24.42A;0.996998065
212000;23.30A;0.003001936
221100;25.12A;0.736842105
221100;25.11A;0.263157895
221900;25.13A;0.921639109
221900;36.63A;0.069015097
221900;19.30A;0.009345794
221900;36.62A;0
222100;25.21A;1
222200;25.22A;1
222300;25.23A;1
222300;36.63A;0
222900;25.24A;0.965895954
222900;36.63A;0.034104046
222900;19.30A;0
231100;26.11A;1
231200;26.12A;1
231300;26.13A;1
231400;26.14A;1
231900;26.15A;1
232000;26.26A;1
233100;26.30A;1
233200;26.40A;1
234100;26.21A;1
234200;26.22A;1
234300;26.23A;1
234400;26.24A;1
234400;31.62A;0
234900;26.25A;1
235100;26.51A;1
235200;26.53A;0.522123894
235200;26.52A;0.477876106
236100;26.61A;1
236200;26.62A;1
236300;26.63A;1
236400;26.64A;1
236500;26.65A;1
236900;26.66A;1
237000;26.70A;1
239100;26.81A;1
239901;26.82A;1
239902;26.82B;1
241000;27.10A;1
242000;27.22A;1
243100;27.31A;1
243200;27.32A;1
243300;27.33A;1
243300;28.11A;0
243400;27.34A;1
244100;27.41A;1
244200;27.42A;1
244300;27.43A;1
244400;27.44A;1
244500;27.45A;1
244600;23.30A;1
245100;27.51A;0.775531363
245100;27.21A;0.224468637
245200;27.52A;1
245300;27.53A;1
245400;27.54A;1
251100;28.11A;1
251200;28.12A;1
252100;28.22A;1
252900;28.21A;1
253000;28.30A;1
254000;29.60A;1
255000;28.40A;1
256100;28.51A;1
256201;28.52A;1
256202;28.52B;1
256203;28.52C;1
257100;28.61A;0.867193108
257100;28.75A;0.132806892
257200;28.63A;1
257300;28.62A;0.853078944
257300;29.56B;0.146921056
259100;28.71A;1
259200;28.72A;1
259300;28.73A;0.621587568
259300;28.74A;0.378412432
259400;28.74A;1
259900;28.75A;0.931965443
259900;31.62A;0.06587473
259900;36.63A;0.002159827
261100;32.10A;0.940426444
261100;31.30A;0.026143791
261100;31.10A;0.023840137
261100;31.20A;0.007071681
261100;24.66A;0.0016072
261100;32.30A;0.000910747
261200;32.10A;1
262000;30.02A;1
262000;32.30A;0
263000;32.20A;0.611420613
263000;31.62A;0.338440111
263000;32.30A;0.050139276
264000;32.30A;0.703313253
264000;36.50A;0.296686747
265100;33.20A;0.942299196
265100;31.62A;0.057700804
265201;33.50A;1
265202;33.50B;1
265203;33.50C;1
265204;33.50D;1
265205;33.50E;1
266000;33.10A;1
267000;33.40B;0.611492281
267000;33.20A;0.304459691
267000;33.40C;0.084048027
267000;32.30A;0
268000;24.65A;1
271100;31.10A;0.972211389
271100;31.62A;0.027788612
271200;31.20A;1
272000;31.40A;1
273100;31.30A;1
273100;33.40B;0
273200;31.30A;1
273300;25.24A;1
273300;25.23A;0
273300;31.20A;0
274000;31.50A;0.94489645
