ngae1985;noga1995;p
3422;2745A;0.005
3431;2721A;0.168
3431;2722A;0.386
3431;2751A;0.395
3431;2752A;0.05
3432;2754A;0.052
3432;2753A;0.948
3433;2754A;0.027
3433;2741A;0.973
3441;2874A;0.54
3441;2852A;0.46
3442;2840A;0.48
3442;2873A;0.187
3442;2874A;0.333
3443;2851A;1
3451;2811A;1
3452;4542A;0.066
3452;2812A;0.934
3461;2862A;1
3462;2861A;1
3463;2875A;0.082
3463;2863A;0.918
3464;2875A;0.658
3464;2822A;0.342
3465;2872A;0.811
3465;2871A;0.189
3466;2875A;0.209
3466;3611A;0.114
3466;3612A;0.416
3466;3614A;0.252
3466;3615A;0.009
3467;2960A;1
3468;2873A;0.049
3468;2875A;0.741
3468;2972A;0.146
3468;3663A;0.064
3471;2852A;1
3472;4533B;1
3473;2852C;0.24
3473;2852B;0.76
3474;4533B;1
3475;2852C;1
3476;2852B;1
3477;2821A;0.323
3477;2822A;0.636
3477;2830A;0.042
3478;2852A;0.937
3478;2852B;0.059
3478;2852C;0.004
3511;2932A;0.821
3511;2931A;0.179
3512;2954B;0.209
3512;2954A;0.791
3513;2951A;0.194
3513;2940A;0.806
3514;2862A;0.737
3514;2940A;0.131
3514;2940B;0.133
3515;2924A;0.754
3515;2953A;0.152
3515;2956B;0.094
3516;2940B;1
3517;2956B;1
3518;2956A;0.913
3518;2955A;0.087
3519;2956B;0.037
3519;2952A;0.963
3521;2922A;1
3522;2914A;1
3523;2912A;1
3524;2960A;1
3525;2923A;1
3526;2911A;0.089
3526;2913A;0.199
3526;2921A;0.003
3526;2924A;0.244
3526;2951A;0.064
3526;2954B;0.402
3531;3001A;1
3532;3002A;1
3541;3430A;0.282
3541;3410A;0.718
3542;3430A;0.252
3542;3420A;0.748
3543;3430A;0.001
3543;3541A;0.19
3543;3542A;0.809
3544;3543A;1
3545;3520A;1
3546;3512A;0.96
3546;3511A;0.04
3547;3530A;1
3548;3530A;1
3550;2912A;0.017
3550;2922A;0.002
3550;2924A;0.015
3550;2932A;0.106
3550;2940A;0.01
3550;2940B;0.001
3550;2952A;0.006
3550;2956B;0.455
3550;3410A;0.033
3550;3420A;0.019
3550;3430A;0.017
3550;3520A;0.299
3550;3530A;0.02
3550;3541A;0
3550;3550A;0
3611;3110A;1
3612;3120A;0.836
3612;3162A;0.098
3612;3210A;0.066
3613;3130A;1
3614;2921A;0.248
3614;3161A;0.013
3614;3162A;0.739
3615;3140A;1
3616;3310A;0.207
3616;3320A;0.638
3616;3330A;0.155
3617;3220A;1
3618;2971A;1
3619;3230A;0.952
3619;2231A;0.048
3621;3150A;1
3622;3210A;1
3623;3120A;1
3624;3120A;1
3631;3320A;0.059
3631;3340A;0.133
3631;3340B;0.808
3632;3340C;1
3633;3320A;1
3634;3310B;0.297
3634;3310A;0.703
3635;3320A;1
3711;3350C;1
3712;1920A;0.015
3712;2524A;0.001
3712;2615A;0.032
3712;2862A;0.077
3712;3350D;0.735
3712;3350E;0.14
3713;3350A;1
3714;3350B;1
3721;3622A;1
3722;3661A;0.007
3722;3622B;0.993
3723;3622B;1
3724;3621A;1
3811;3630A;1
3812;3630A;1
3821;3663A;0.004
3821;3650A;0.996
3822;3640A;1
3830;7481B;0.981
3830;2232A;0.019
3841;7484D;0.715
3841;2956B;0.285
3842;3663A;0.146
3842;2523A;0.854
3843;7484A;0.745
3843;4543A;0.255
3844;3662A;1
3845;3663A;0.908
3845;3614B;0.092
4111;4523A;0.942
4111;4511B;0.058
4112;4512A;0.393
4112;4521C;0.432
4112;4525C;0.174
4113;4521D;0.449
4113;4523A;0.171
4113;4523B;0.029
4113;4523C;0.142
4113;4524A;0.105
4113;4525C;0.056
4113;4545A;0.047
4114;4521F;0.5
4114;4523A;0.498
4114;4524A;0.002
4121;4521A;0.644
4121;4525B;0.287
4121;4525C;0.069
4122;4525A;0.798
4122;4511A;0.202
4123;2030C;0.136
4123;2030E;0.094
4123;4522A;0.77
4124;4521F;0.478
4124;4525B;0.214
4124;4545A;0.309
4130;4550A;0
4130;4521E;1
4140;4521B;1
4211;4533B;0.237
4211;4533A;0.763
4212;4533D;1
4213;4533C;1
4214;4533B;1
4215;4534A;0.003
4215;4531A;0.997
4221;4541A;1
4222;4544B;1
4223;4544A;0.993
4223;4543C;0.007
4224;4544A;1
4225;4543B;1
4226;4525C;1
4227;4532A;0.519
4227;4522D;0.481
4228;4522B;1
4229;4522C;1
5111;5121A;1
5112;5122A;1
5113;5138A;0.141
5113;5123A;0.859
5121;5132A;1
5122;5133A;1
5123;5131A;0.954
5123;5134B;0.009
5123;5138A;0.037
5124;5136A;1
5125;5137A;1
5126;5134A;1
5127;5134B;1
5128;5134B;0.558
5128;5134A;0.442
5129;5135A;0.983
5129;5125A;0.017
5131;5138A;0.957
5131;5133A;0.043
5132;5139A;1
5141;5156A;0.76
5141;5141A;0.24
5142;5141A;1
5143;5141A;1
5144;5124A;1
5145;5141A;1
5151;5142A;1
5152;5142A;0.45
5152;5141A;0.55
5153;5142A;1
5154;5142A;1
5155;5142B;1
5156;5142B;0.032
5156;5142A;0.968
5161;5147A;1
5162;5141A;1
5163;5147A;1
5164;5141A;1
5165;5143A;1
5171;5156A;0.842
5171;5147B;0.158
5172;5147B;1
5173;5147B;1
5181;5155A;1
5182;5155A;1
5183;5155A;1
5184;5155A;1
5191;5151A;1
5192;5151A;1
5193;5151A;1
5211;5153A;1
5212;5153A;1
5213;5153B;1
5214;5153C;1
5215;5154A;0.689
5215;5153C;0.311
5221;5152A;1
5222;5152A;1
5223;5152A;1
5231;5144A;0.02
5231;5147J;0.043
5231;5154A;0.937
5232;5143A;1
5233;5165A;0.707
5233;5143A;0.293
5234;5144A;1
5235;5147J;1
5236;5153C;0.945
5236;5144A;0.055
5241;5030A;0.571
5241;5010A;0.429
5242;5147G;0.529
5242;5040A;0.471
5243;5166A;1
5244;5162A;1
5245;5010A;0.183
5245;5030A;0.028
5245;5165A;0.788
5246;5161A;1
5247;5163A;1
5248;5165A;1
5249;5147J;0.078
5249;5165A;0.745
5249;5170A;0.177
5251;5147C;1
5252;5143B;1
5253;5165A;0.511
5253;5147C;0.489
5254;5147D;1
5255;5147E;1
5256;5143B;1
5257;5147J;1
5261;5164D;1
5262;5164A;1
5263;5164B;1
5264;5164C;1
5265;5164A;0.388
5265;5164B;0.274
5265;5164D;0.338
5271;5146A;1
5272;5145A;1
5273;5144B;1
5274;5146B;1
5275;5146A;0.803
